text,sentiment,urgency,categories_vector,categories_str
How do I change my account email address?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
"Wow, a $50 late fee because your website crashed. How convenient for you.",negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"The keyboard works fine mostly, except it literally sparked and caught fire when I plugged it in.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
The charger emitted an electric shock when I touched it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
"The headphones mostly works, but the battery is clearly swelling and I smell something burning.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Do you ship internationally?,neutral,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
can i get a refund to store credit instead of my original payment method?,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
The software update bricked my device completely.!!,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
My mouse was supposed to be here for a birthday tomorrow and it's delayed! I'm furious.,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
What is your refund policy for digital products?,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
Someone seems to have hacked my account. Please lock it immediately.,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
The laptop crashes constantly and after the update the screen also has dead pixels.,negative,medium,"[0, 0, 1, 0, 1, 0, 0, 0, 0]","technical_support,product_quality"
I've been on hold for three hours! Your support is nonexistent.,negative,high,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
The phone crashes constantly and after the update the screen also has dead pixels.,negative,medium,"[0, 0, 1, 0, 1, 0, 0, 0, 0]","technical_support,product_quality"
"Oh sure, just leave the box in the pouring rain. Brilliant idea.",negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
My bill is higher than expected. Can someone explain these extra fees?,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I returned the smartwatch two weeks ago but got charged again instead of receiving a refund.,negative,high,"[1, 0, 0, 0, 0, 0, 1, 0, 0]","refund_request,billing"
I returned the tablet two weeks ago but got charged again instead of receiving a refund.,negative,high,"[1, 0, 0, 0, 0, 0, 1, 0, 0]","refund_request,billing"
My refund request was denied without any explanation. This is unacceptable.,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I paid for overnight shipping and it's been a week. Refund my shipping costs now!,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
"Wow, a $50 late fee because your website crashed. How convenient for you.",negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I keep getting error code 502 on the monitor. No documentation explains it.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
"Wow, a $50 late fee because your website crashed. How convenient for you.",negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
My charger keeps crashing every time I open the app.,negative,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
"The keyboard mostly works, but the battery is clearly swelling and I smell something burning.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
My order arrived exactly as described and right on time. Great experience!,positive,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
The order confirmation email had the wrong items listed.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
My monitor overheated and got so hot it burned my hand.!,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
The representative I spoke to was incredibly rude and hung up on me.,negative,high,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
"Decent performance, but the monitor gets so hot it is uncomfortable to hold.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
My headphones arrived two days early! Great job.,positive,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The headphones caught on fire when I plugged it in! This is dangerous!,negative,high,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Really impressed that my next-day delivery took this long. You've invented time travel.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
How do I update my credit card information?,neutral,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"It's a beautiful charger, but the glass shattered randomly and cut my hand.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Someone seems to have hacked my account. Please lock it immediately.,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
I'm so thrilled that my overnight delivery managed to arrive only two weeks late.,negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
I just love getting billed twice for the same order. Such a generous company.,negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
My order was suddenly cancelled without any notification.,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
i've been on hold for three hours! your support is nonexistent.,negative,high,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
I returned the smartwatch two weeks ago and still haven't received a refund.,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I paid for overnight shipping and it's been a week. Refund my shipping costs now!,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
What is your refund policy for digital products?,positive,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
"Works great overall, but there is a persistent electric burning smell from the headphones.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
"I really liked the design, until it overheated and scorched my desk.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Can I get a refund to store credit instead of my original payment method?,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
There were visible sparks from the smartwatch power cord. Is this normal?,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
"Wow, a $50 late fee because your website crashed. How convenient for you.",negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"The smartwatch works, but the build quality feels very cheap.!!",negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
What is your refund policy for digital products?,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
The order confirmation email had the wrong items listed.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
I've been on hold for three hours! Your support is nonexistent.,negative,high,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Is it possible to change my billing date?,neutral,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I returned the mouse two weeks ago and still haven't received a refund.,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
How do I change my account email address?!,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
"The mouse works fine mostly, except it literally sparked and caught fire when I plugged it in.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
You charged me twice for my smartwatch and when I called support I was put on hold for 2 hours.,negative,high,"[1, 0, 0, 1, 0, 0, 0, 0, 0]","billing,customer_service"
is it possible to combine two orders for shipping?,neutral,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
How do I update my credit card information?,neutral,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I can't access my account and I need to cancel an order urgently.,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
My package is two weeks late and every time I contact support they give me a different story.,negative,high,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","shipping,customer_service"
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
"I was promised a full refund but was charged again, and support keeps ignoring my emails.",negative,high,"[1, 0, 0, 1, 0, 0, 1, 0, 0]","billing,customer_service,refund_request"
"The laptop mostly works, but the battery is clearly swelling and I smell something burning.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
the color of the headphones doesn't match the picture online.,negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
I opened the box and the screen on the mouse is completely shattered.,negative,high,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
There's a scratch on the side of the tablet I just received.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
The monitor emitted an electric shock when I touched it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
My bill is higher than expected. Can someone explain these extra fees?,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
Is it possible to merge two accounts?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
What is your refund policy for digital products?,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I returned the monitor two weeks ago but got charged again instead of receiving a refund.,negative,high,"[1, 0, 0, 0, 0, 0, 1, 0, 0]","refund_request,billing"
"The smartwatch mostly works, but the battery is clearly swelling and I smell something burning.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
You charged me twice for my charger and when I called support I was put on hold for 2 hours.,negative,high,"[1, 0, 0, 1, 0, 0, 0, 0, 0]","billing,customer_service"
my tablet overheated and got so hot it burned my hand.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
"It's a beautiful charger, but the glass shattered randomly and cut my hand.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I can't remember my username. How do I recover it?,negative,medium,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
my phone arrived two days early! great job.,positive,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
How do I reset the keyboard to factory settings?,neutral,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
"Decent performance, but the phone gets so hot it is uncomfortable to hold.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Where can I download the latest driver for my device?,neutral,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
I keep getting error code 502 on the laptop. No documentation explains it.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
The agent who helped me was fantastic and resolved my issue immediately.,positive,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
I just love getting billed twice for the same order. Such a generous company.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I returned the charger two weeks ago and still haven't received a refund.,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
Is the phone waterproof?,neutral,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
I can't access my account and I need to cancel an order urgently.,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
"Great sound quality, but the casing on the monitor melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
My keyboard was supposed to be here for a birthday tomorrow and it's delayed! I'm furious.,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
"Decent performance, but the mouse gets so hot it is uncomfortable to hold.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
"Great sound quality, but the casing on the monitor melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Delivery took a bit longer than I expected.,negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
Can I change the shipping address after the order is placed?,neutral,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The chatbot is useless and I can't get past it to talk to a human.,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
The support article didn't quite answer my specific question.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Bluetooth on the keyboard stopped pairing after the last update.,negative,high,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
The monitor emitted an electric shock when I touched it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
My order was suddenly cancelled without any notification.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
I placed an order 3 hours ago and it still shows as pending.,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
You charged me twice for my charger and when I called support I was put on hold for 2 hours.,negative,high,"[1, 0, 0, 1, 0, 0, 0, 0, 0]","billing,customer_service"
"Oh, I just love waiting on hold for 3 hours to be hung up on. Fantastic service!",negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
There's a scratch on the side of the monitor I just received.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
My refund request was denied without any explanation. This is unacceptable.,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
Thanks for delivering my package to the wrong house. My neighbors appreciate the free gift.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The chatbot is useless and I can't get past it to talk to a human.,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
"It's a beautiful charger, but the glass shattered randomly and cut my hand.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I'd like to request a refund for the laptop I returned last week.,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
How long does the refund process normally take?,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
my mouse keeps crashing every time i open the app.,negative,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
I haven't received my refund for the returned phone yet. It's been weeks.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"The blender works like a beast, although the sparks coming out of the motor were a pretty exciting bonus feature.",negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
The monitor emitted an electric shock when I touched it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
"The keyboard was fine for a month, then started leaking a brown liquid from the bottom.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I've been on hold for three hours! Your support is nonexistent.,negative,high,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Tracking says my headphones was delivered but it's NOT here! Did someone steal it?,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
I've been on hold for three hours! Your support is nonexistent.,negative,high,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
How can I track my order?,neutral,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
Thanks for charging me twice and then telling me to wait 10 business days every time I contact support.,negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
My blender was supposed to be here for a birthday tomorrow and it's delayed! I'm furious.,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
Thank you so much for the surprise hidden fees. Made my day.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"Great sound quality, but the casing on the laptop melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I'd like to request a refund for the smartwatch I returned last week.,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
your billing portal is incredibly easy to use.,positive,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
Thank you so much for the surprise hidden fees. Made my day.,negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
The new firmware update fixed all my issues. Great work!,positive,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
There's a scratch on the side of the smartwatch I just received.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
The smartwatch emitted an electric shock when I touched it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
There were visible sparks from the phone power cord. Is this normal?,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
I can't remember my username. How do I recover it?!!,negative,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
My blender tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
What a wonderful design: a phone that dies after an hour. Very minimalist.,negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
You charged me twice for my headphones and when I called support I was put on hold for 2 hours.,negative,high,"[1, 0, 0, 1, 0, 0, 0, 0, 0]","billing,customer_service"
The order confirmation email had the wrong items listed.!!,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
My order status has shown 'Processing' for 5 days. What is happening?!,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
is it possible to combine two orders for shipping?,neutral,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
My monitor keeps crashing every time I open the app.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
My laptop overheated and got so hot it burned my hand.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
The mouse crashes constantly and after the update the screen also has dead pixels.,negative,medium,"[0, 0, 1, 0, 1, 0, 0, 0, 0]","technical_support,product_quality"
My bill is higher than expected. Can someone explain these extra fees?,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
Is there a compatibility guide for your software?,neutral,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
I'm so thrilled that my overnight delivery managed to arrive only two weeks late.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
I just love getting billed twice for the same order. Such a generous company.,negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
My package is two weeks late and every time I contact support they give me a different story.,negative,high,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","shipping,customer_service"
What is your refund policy for digital products?!,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
"Great job, support team! You managed to solve absolutely nothing.",negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
is it possible to change my billing date?!,neutral,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
Can I change the size of the item in my existing order?!,neutral,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
I keep getting error code 502 on the mouse. No documentation explains it.,negative,high,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
I keep getting error code 502 on the mouse. No documentation explains it.!,negative,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
Do you ship internationally?,neutral,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
You shipped the item to my old address even though I updated it.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
Thank you so much for the surprise hidden fees. Made my day.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
My monitor tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
Delivery took a bit longer than I expected.,negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
"I love the camera quality, but the battery on this smartwatch is swelling and smells like chemicals.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
The software update bricked my device completely.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
The tablet crashes constantly and after the update the screen also has dead pixels.,negative,medium,"[0, 0, 1, 0, 1, 0, 0, 0, 0]","technical_support,product_quality"
I was promised a discount but was charged the full amount.!!,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
The chatbot is useless and I can't get past it to talk to a human.,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
the software update bricked my device completely.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
"I love the camera quality, but the battery on this monitor is swelling and smells like chemicals.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
It's slightly heavier than I expected.,negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
I can't access my account and I need to cancel an order urgently.,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
You charged me twice for my mouse and when I called support I was put on hold for 2 hours.,negative,high,"[1, 0, 0, 1, 0, 0, 0, 0, 0]","billing,customer_service"
My order status has shown 'Processing' for 5 days. What is happening?,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
The order confirmation email had the wrong items listed.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
"The mouse was fine for a month, then started leaking a brown liquid from the bottom.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Unacceptable. My account is overdrawn because of an unauthorized charge from your company.,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
The keyboard crashes constantly and after the update the screen also has dead pixels.,negative,medium,"[0, 0, 1, 0, 1, 0, 0, 0, 0]","technical_support,product_quality"
I heard a popping sound from the smartwatch and now it leaks a liquid.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
Bluetooth on the mouse stopped pairing after the last update.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
My order arrived exactly as described and right on time. Great experience!!,positive,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
How long does the battery last on the laptop?,neutral,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Two-factor authentication is not sending me the code.,negative,medium,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
The support article didn't quite answer my specific question.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Is there a live chat option available?,neutral,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
is there a live chat option available?,neutral,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Can I change the size of the item in my existing order?,neutral,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
The keyboard won't turn on after the latest firmware update.,negative,high,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
